t,x,v,a,phi,phi_v,phi_a
3.44,0.4231326036812982,0.3275602320295081,0.13593663793272093,5.289157546016226,4.094502900368852,1.6992079741590338
3.45,0.42642179131824726,0.32891876369490813,0.13576783290567274,5.330272391478091,4.111484546186352,1.6970979113208884
3.46,0.4297245472051235,0.3302755886876216,0.13559530573489242,5.371556840064043,4.1284448585952696,1.6949413216861497
3.47,0.4330408539032195,0.331630669809606,0.13541906115031865,5.413010673790244,4.145383372620075,1.69273826437899
3.48,0.43637069360232583,0.33298396991062795,0.13523910398377803,5.4546336700290725,4.162299623882849,1.6904887997972295
3.49,0.4397140481212186,0.33433545188928154,0.13505543916887963,5.4964256015152335,4.17919314861602,1.6881929896110037
3.5,0.44307089890815865,0.33568507869400555,0.13486807174089566,5.538386236351983,4.196063483675069,1.6858508967612096
3.5100000000000002,0.44644122704139966,0.33703281332409946,0.13467700683659767,5.580515338017497,4.212910166551244,1.6834625854574625
3.52,0.4498250132297071,0.3383786188307375,0.13448224969412892,5.622812665371339,4.229732735384219,1.6810281211765865
3.5300000000000002,0.45322223781288684,0.33972245831798203,0.13428380565284614,5.6652779726610865,4.246530728974776,1.6785475706606157
3.54,0.4566328807623248,0.3410642949437944,0.1340816801532002,5.707911009529062,4.263303686797431,1.676021001915018
3.5500000000000003,0.4600569216815352,0.34240409192104604,0.1338758787365696,5.750711521019192,4.280051149013076,1.6734484842070962
3.56,0.46349433980672045,0.3437418125185258,0.13366640704508548,5.793679247584008,4.296772656481573,1.6708300880635463
3.5700000000000003,0.46694511400733996,0.34507742006194775,0.1334532708215319,5.836813925091751,4.313467750774347,1.6681658852691683
3.58,0.4704092227866895,0.34641087793495645,0.13323647590915144,5.880115284833621,4.330135974186956,1.665455948864425
3.59,0.4738866442824908,0.3477421495801308,0.13301602825147585,5.923583053531137,4.346776869751635,1.6627003531434426
3.6,0.47737735626749067,0.34907119849998597,0.13279193389219013,5.967216953343636,4.363389981249825,1.6598991736523683
3.61,0.4808813361500704,0.3503979882579746,0.13256419897496596,6.0110167018758816,4.379974853224683,1.6570524871870607
3.62,0.4843985609748653,0.3517224824794853,0.13233282974326188,6.0549820121858176,4.396531030993566,1.654160371790736
3.63,0.4879290074233936,0.3530446448528398,0.1320978325401817,6.099112592792423,4.413058060660497,1.651222906752281
3.64,0.4914726518146965,0.3543644391302889,0.1318592138082858,6.143408147683708,4.429555489128612,1.6482401726036322
3.65,0.4950294701059865,0.35568182912900553,0.13161698008943845,6.187868376324834,4.44602286411257,1.6452122511179557
3.66,0.4985994378933073,0.3569967787320777,0.1313711380246052,6.232492973666345,4.462459734150971,1.642139225307515
3.67,0.5021825304122023,0.35830925188949764,0.13112169435365306,6.277281630152531,4.47886564861872,1.6390211794206522
3.68,0.5057787225383937,0.35961921261915075,0.13086865591521168,6.322234031729926,4.495240157739384,1.6358581989401433
3.69,0.5093879887884717,0.36092662500780187,0.13061202964646523,6.367349859855901,4.511582812597523,1.632650370580846
3.7,0.5130103033205926,0.36223145321208006,0.13035182258294975,6.412628791507411,4.527893165151001,1.629397782286901
3.71,0.5166456399351872,0.36353366145946087,0.13008804185837275,6.458070499189844,4.544170768243261,1.6261005232296455
3.72,0.5202939720756797,0.3648332140492475,0.12982069470440782,6.503674650946,4.560415175615594,1.6227586838050811
3.73,0.5239552728292152,0.366130075353549,0.1295497884505198,6.549440910365194,4.576625941919363,1.619372355631521
3.74,0.5276295149273977,0.3674242098182579,0.12927533052374263,6.595368936592475,4.592802622728224,1.6159416315467912
3.75,0.531316670747038,0.3687155819640239,0.1289973284484769,6.641458384337978,4.608944774550299,1.6124666056059667
3.7600000000000002,0.5350167123109103,0.37000415638722745,0.12871578984629262,6.687708903886382,4.625051954840344,1.6089473730786619
3.77,0.5387296112885198,0.3712898977609497,0.12843072243570453,6.7341201411065015,4.641123722011872,1.6053840304462774
3.7800000000000002,0.5424553389968793,0.37257277083594154,0.1281421340319805,6.7806917374609945,4.657159635449269,1.6017766753997353
3.79,0.5461938664012952,0.37385274044158934,0.12785003254692506,6.827423330016193,4.673159255519867,1.5981254068365924
3.8000000000000003,0.549945164116164,0.37512977148688004,0.12755442598864908,6.874314551452053,4.689122143586001,1.5944303248581093
3.81,0.5537092024057776,0.3764038289613623,0.1272553224613504,6.921365030072224,4.705047862017029,1.5906915307668523
3.8200000000000003,0.5574859511851387,0.37767487793610705,0.12695273016509745,6.968574389814237,4.720935974201338,1.5869091270637181
3.83,0.5612753800207854,0.37894288356466427,0.12664665739561265,7.015942250259821,4.736786044558303,1.5830832174451803
3.84,0.5650774581316255,0.3802078110840193,0.126337112544056,7.063468226645323,4.752597638550242,1.5792139068007138
3.85,0.568892154389781,0.3814696258155454,0.1260241040967336,7.111151929872266,4.7683703226943175,1.5753013012091532
3.86,0.5727194373214405,0.38272829316595397,0.1257076406349339,7.15899296651801,4.784103664574425,1.57134550793665
3.87,0.576559275107723,0.38398377862824407,0.1253877308346696,7.206990938846541,4.7997972328530505,1.5673466354333865
3.88,0.5804116355855494,0.38523604778264736,0.12506438346641668,7.255145444819371,4.8154505972830925,1.5633047933302446
3.89,0.5842764862485251,0.3864850662975724,0.12473760739492301,7.303456078106568,4.831063328719655,1.5592200924364974
3.9,0.5881537942478307,0.3877307999305458,0.124407411578914,7.351922428097887,4.8466349991318225,1.5550926447363889
3.91,0.5920435263931222,0.3889732145291507,0.12407380507085952,7.400544079914031,4.862165181614383,1.5509225633858037
3.92,0.5959456491534417,0.390212276031963,0.12373679701678242,7.449320614418026,4.877653450399539,1.5467099627097802
3.93,0.5998601286581365,0.3914479504694863,0.12339639665590041,7.498251608226711,4.893099380868579,1.5424549581987357
3.94,0.6037869306977873,0.392680203965081,0.12305261332046236,7.547336633722347,4.908502549563513,1.5381576665058017
3.95,0.6077260207251464,0.3939090027358956,0.12270545643548736,7.596575259064334,4.923862534198695,1.5338182054435823
3.96,0.6116773638560842,0.39513431309379077,0.12235493551842613,7.645967048201059,4.939178913672385,1.529436693980335
3.97,0.6156409248705469,0.3963561014462641,0.12200106017900558,7.695511560881841,4.9544512680783015,1.5250132522375726
